"Freq [GHz]","im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
3,-0.198081914230505,0.916700365656059,-0.290444196463522,-0.0789599624288397
3.1,-0.249495416633055,0.874263741525694,-0.336761839451627,-0.121853944018826
3.2,-0.312899540799922,0.794398233933135,-0.395297184061333,-0.202131116813429
3.3,-0.368478967031058,0.633568806596685,-0.446212352747329,-0.363331716617975
3.4,-0.293278933456882,0.345078117165788,-0.366532454412881,-0.652157535781452
3.5,0.115019006207698,0.186518981317482,0.0460790092127734,-0.811019568389438
3.6,0.417068486526079,0.446813374080766,0.352291915790069,-0.550999112071065
3.7,0.427369284310197,0.691082675952103,0.366620751756645,-0.306977632515721
3.8,0.368276129456056,0.81812296941515,0.311433645945709,-0.180161497610849
3.9,0.311718661108715,0.883435312750871,0.258672487237025,-0.115051761161974
4,0.26679537406745,0.919839949819497,0.217447029542013,-0.0788300049031401
4.1,0.231779254025057,0.941828735636207,0.186040664866542,-0.0570059506277065
4.2,0.20407885163464,0.956020809003701,0.161871616871638,-0.0429618185222838
4.3,0.181685510831555,0.965680382354057,0.142940274414839,-0.0334345631901556
4.4,0.163186720252314,0.97254156331441,0.127842636655694,-0.0266910736108423
4.5,0.147600611276106,0.977586877655697,0.115604895397355,-0.0217496679909504
4.6,0.134236518372126,0.981404108411037,0.105544072149894,-0.0180232692265951
4.7,0.122599389222901,0.984361367158481,0.0971724989425825,-0.0151443453893299
4.8,0.112327114183595,0.986698314179353,0.0901352138225452,-0.0128736988425322
4.9,0.103149535127222,0.988576238621896,0.0841690323339264,-0.0110503930986354
5,0.0948613095007276,0.990106826462507,0.0790754719561343,-0.00956298979585313
5.1,0.0873036359495179,0.991369349505058,0.074702536958443,-0.00833236266131365
5.2,0.0803517166018868,0.992421295378019,0.0709322398429824,-0.00730106854807211
5.3,0.0739059941044301,0.993305143063494,0.067671898562956,-0.00642657099906963
5.4,0.0678859163489737,0.994052798399974,0.0648479636029445,-0.00567680182103203
5.5,0.0622254234427828,0.99468856717553,0.0624015707083885,-0.00502718290843518
