"Phi [deg]","dB(GainTotal) [] - Freq='3GHz' Theta='90deg'","dB(GainTotal) [] - Freq='6GHz' Theta='90deg'","dB(GainTotal) [] - Freq='9GHz' Theta='90deg'"
0,2.13843121235529,5.41417372546644,7.44030635364615
10,2.28720294868935,5.05421286690131,6.87699848381538
20,2.28369295493293,4.28184381106011,5.39261860959666
30,2.06131217203257,3.10869609369062,3.29246664591149
40,1.53133725626778,1.54044168025894,0.857333439615295
50,0.609884879191504,-0.37867802302897,-1.18230650480846
60,-0.753310777229175,-2.52655783543822,-1.96974269111438
70,-2.54760726090901,-4.72955581875597,-1.93679478978202
80,-4.63023358075643,-6.74655526246804,-2.24411095105921
90,-6.53090152865252,-7.9793576001989,-3.64163380466175
100,-7.44014201501993,-7.85121571270671,-5.05091624632466
110,-7.17394275659367,-7.26572641542008,-6.30800077376518
120,-6.48011629865846,-7.53009344924562,-10.2306243268276
130,-5.96627332647355,-9.20954064163041,-11.5496570586179
140,-5.84374380680415,-11.4796401367562,-9.12535174847691
150,-6.10565308581009,-10.2679708534306,-12.9598805149242
160,-6.60057362453349,-7.11204617643394,-12.2687125195286
170,-7.12752434788219,-5.11805841308538,-4.8279714258206
180,-7.60762361700806,-4.50257084800518,-2.90526363471479
190,-8.06128550183863,-5.17093412593005,-4.59141628886195
200,-8.37643228005815,-7.15006149637352,-9.91549599502255
210,-8.35115646956003,-10.199224831492,-12.3936473751788
220,-8.01417982039331,-11.972163482783,-8.56956531691715
230,-7.57365470537596,-10.6489915400618,-10.5741878470233
240,-7.15266695214959,-9.20272529900894,-10.9544411897894
250,-6.77803587876342,-8.58471140915001,-7.38149577480254
260,-6.41389945996429,-8.29068604676383,-4.80718254486175
270,-5.89234297629208,-7.63302706346293,-3.53408211241839
280,-4.97694366274999,-6.31626770498514,-3.04957595384123
290,-3.66071072410171,-4.36495267986492,-3.07418481694629
300,-2.21724212878711,-2.00802238306792,-2.49699078116884
310,-0.914272095379936,0.339586282944379,-0.678730193807574
320,0.129974982788833,2.33360062755709,1.67179159814336
330,0.909882970141495,3.82991245003661,4.01766702128549
340,1.4711759585029,4.82217153546202,5.86917752670308
350,1.86835582036885,5.34254563150853,7.03688867133115
360,2.13843121235529,5.41417372546645,7.44030635364615
