"Phi [deg]","dB(GainTotal) [] - Freq='3GHz' Theta='90deg'","dB(GainTotal) [] - Freq='6GHz' Theta='90deg'","dB(GainTotal) [] - Freq='9GHz' Theta='90deg'"
0,4.41680565585957,6.84302570837127,8.01145244283004
5,4.16320929622424,6.73022100518013,7.83409462346321
10,3.85138885893776,6.45719283723919,7.44991122471804
15,3.48378861023164,6.02135945594191,6.87701266024685
20,3.05103763469478,5.4187419181671,6.12301090750489
25,2.53159021866545,4.64362808572988,5.1737223092752
30,1.89280738418347,3.68807387423181,4.00670548298265
35,1.09262142151887,2.54120678558373,2.63766353516913
40,0.0805019641810722,1.18828536784399,1.16360076342996
45,-1.20400681099291,-0.390695412823236,-0.256947354599826
50,-2.83785357860558,-2.22345712552177,-1.50476565409289
55,-4.93145058053077,-4.34999772751732,-2.60780941223638
60,-7.66907123188705,-6.83005380326209,-3.69692282915271
65,-11.4056215128811,-9.74894486035205,-4.79933503809534
70,-16.7709527899497,-13.1749855200885,-5.68646201141433
75,-20.6843747330355,-16.7429619320908,-6.05569439197475
80,-15.9448954628378,-18.2721726935467,-5.95754519769717
85,-11.8935069901252,-16.5959107576607,-5.79196663964045
90,-9.08357946756726,-14.3371867334963,-5.93494911549429
95,-6.91565514505015,-12.5705564788956,-6.55715859514908
100,-5.11739014272382,-11.3504831470988,-7.5534387328983
105,-3.58838383805351,-10.6083143803199,-8.47045422901616
110,-2.30357236820163,-10.2798024320505,-8.88210145175343
115,-1.26267969411813,-10.2941794135126,-9.04588684958744
120,-0.466994630659258,-10.545938551656,-9.45180607303299
125,0.0885168231322228,-10.8703745831275,-10.2101522576147
130,0.416140898802704,-11.0545455643486,-11.1338108779926
135,0.533850177294531,-10.9252755853993,-11.8393955633254
140,0.462906415048465,-10.4623377008571,-11.987694116597
145,0.22494214653521,-9.79057899309303,-11.6129841361607
150,-0.161501963841402,-9.06428740092043,-10.8105169913243
155,-0.684746324098174,-8.38946602399137,-9.71362615713532
160,-1.34338189612079,-7.81830982069567,-8.60107092547066
165,-2.14858599524472,-7.37047515414055,-7.65873365897479
170,-3.12530462114975,-7.05235408903903,-6.95438139445493
175,-4.31365434857742,-6.8682378113158,-6.54827464588327
180,-5.77363893373991,-6.82464935530271,-6.50108845265908
185,-7.59846044911409,-6.93055555952063,-6.8375872800233
190,-9.94503351752123,-7.19598732606835,-7.54110710943274
195,-13.0867145340697,-7.63012000093002,-8.56708536457199
200,-17.2877451138453,-8.23760790609342,-9.81781765198658
205,-19.8330658708926,-9.01043902055661,-11.0621033027493
210,-16.2420912372484,-9.91374540822861,-11.9821400191807
215,-12.4716388128362,-10.8701283297114,-12.3629248086366
220,-9.80838500469239,-11.7592803601902,-12.1493351099646
225,-7.93676534734334,-12.456829899073,-11.6808109198439
230,-6.62622258437544,-12.9052989639228,-11.4749470937214
235,-5.74417236837289,-13.152710439925,-11.7130621571214
240,-5.2128647702814,-13.3176817573244,-12.3496657884873
245,-4.98761499161453,-13.5277263264131,-12.8857062735288
250,-5.0454401098331,-13.8829654318913,-11.9028347613099
255,-5.37437880160179,-14.4480628001174,-9.61533333169811
260,-5.95511275529198,-15.2561441354742,-7.60006695720982
265,-6.72356072180341,-16.3027472457018,-6.3854255974905
270,-7.50269993958252,-17.4649221371784,-5.91519703255102
275,-7.94306440095888,-18.1944243391479,-5.98854036190081
280,-7.6667532517333,-17.3545382974052,-6.35824409215747
285,-6.64666714205191,-14.7729363317292,-6.73617956196889
290,-5.21406444903715,-11.61617948061,-6.73806627259787
295,-3.68504072684562,-8.60635030201452,-5.9874604857138
300,-2.21543436307179,-5.92116908003537,-4.51410360724416
305,-0.85942729625124,-3.5680161605674,-2.73482366569777
310,0.366114362072767,-1.52089391543095,-1.00130411877621
315,1.45218928843691,0.248038057580929,0.549003652367955
320,2.38958757419712,1.76363552565992,1.93226959862919
325,3.16944611762482,3.04807823198797,3.22459041986754
330,3.78589702598596,4.12121592795129,4.45551006281734
335,4.23820957216854,5.0002130956249,5.5745106399544
340,4.53179750725583,5.69890400155116,6.50877228768119
345,4.67819363031407,6.22740051898671,7.22014514082778
350,4.69416438689909,6.59223615478657,7.70544253483959
355,4.59998422773188,6.7969806769944,7.96928136713587
360,4.41680565585957,6.84302570837127,8.01145244283004
