"Theta [deg]","dB(GainTotal) [] - Freq='3GHz' Phi='0deg'","dB(GainTotal) [] - Freq='6GHz' Phi='0deg'","dB(GainTotal) [] - Freq='9GHz' Phi='0deg'"
-180,-1.61248954681466,-5.63092593559643,-1.36538968875064
-170,-2.29194618873937,-6.40754710707803,-1.32689077540272
-160,-3.01555007250051,-5.61373601486604,-2.216692318227
-150,-3.8312051839776,-4.75431942212404,-1.95491610909491
-140,-4.73263003651567,-4.32938035994835,-2.68183022851302
-130,-5.65112329309295,-4.28626632533056,-3.67982850412663
-120,-6.47944540029935,-4.42738193245278,-3.56423666800396
-110,-7.11583842368895,-4.57303172698343,-3.23017162976533
-100,-7.49901119137261,-4.61560475079937,-3.0535759340307
-90,-7.60762361700806,-4.50257084800518,-2.90526363471479
-80,-7.43685527329768,-4.2140710096955,-2.75586995563239
-70,-6.98621798487981,-3.76918821573727,-2.73290939260849
-60,-6.27516920511235,-3.25011261412616,-2.95151638411684
-50,-5.37087300911545,-2.81725006563891,-3.19125938970016
-40,-4.38974264973636,-2.6998803671642,-3.0966165261297
-30,-3.45512969354414,-3.18949411537689,-3.99727087576263
-20,-2.64211005259578,-4.69342052817404,-4.87496249963857
-10,-1.95047801641381,-7.65855268621557,-1.41135552838677
0,-1.3216754619354,-9.37490437654388,0.285240374627725
10,-0.691548884075499,-5.03472938779607,-0.355934527143803
20,-0.0437479134107032,-0.945308066943428,-2.96444481250849
30,0.581872344692836,1.78810342059057,-3.98346502313853
40,1.12593157645499,3.53984044379335,-0.0833926734157554
50,1.54800139106794,4.57649200531706,3.44641334824838
60,1.8400856344357,5.11871098557524,5.57965965189472
70,2.01910058569559,5.35677314260031,6.71214891362946
80,2.11137332750363,5.42888760202596,7.25245899799153
90,2.13843121235529,5.41417372546644,7.44030635364615
100,2.10792375397286,5.33915328059384,7.35179581389113
110,2.01031124440558,5.18452933966954,6.94109010164941
120,1.82146728028096,4.8875413265452,6.07920026226035
130,1.51171720474029,4.34232534034607,4.62010981138376
140,1.06064076608432,3.40550392239672,2.40295043187004
150,0.473574932170661,1.91812580268858,-0.754148565111169
160,-0.208716758051801,-0.244045669977608,-3.53638659917584
170,-0.920742094825449,-3.02165994088477,-3.1066690831913
180,-1.61248954681466,-5.63092593559643,-1.36538968875064
