"Theta [deg]","dB(GainTotal) [] - Freq='3GHz' Phi='0deg'","dB(GainTotal) [] - Freq='6GHz' Phi='0deg'","dB(GainTotal) [] - Freq='9GHz' Phi='0deg'"
0,0.618253153245038,-13.2054615921043,0.885400509724521
5,1.24300284058907,-10.0745122751644,0.66126856718858
10,1.76920660424229,-6.07220758357754,0.8036532181859
15,2.21134452152725,-2.98311043189845,0.86071009037918
20,2.58211149363486,-0.644097846240304,0.548824989896704
25,2.89240897253041,1.16358656893499,0.215031113957311
30,3.15149357622053,2.58008480033103,0.218242398967039
35,3.36721044532274,3.69387339018033,0.646016661504997
40,3.54622827136601,4.56475436001586,1.59708978981104
45,3.69422507260022,5.23713312478634,2.96793600298709
50,3.81601196411542,5.74696668082352,4.38899477771577
55,3.9156065248675,6.12496062008953,5.58869446037754
60,3.99627770565781,6.39774435742835,6.49543749426907
65,4.06058591537214,6.58813931867492,7.14251986546984
70,4.11043704811482,6.71515712819425,7.59052193677746
75,4.1471585190352,6.7940199463978,7.89362737083064
80,4.17159239488605,6.83628180097499,8.09038088749111
85,4.18419106755486,6.85002397048702,8.20489152936199
90,4.18509845555795,6.84006370941125,8.25095076814131
95,4.17420425335095,6.80812038897014,8.23534175984128
100,4.15116726448723,6.75290324221474,8.15882440571693
105,4.11541290830554,6.67011005125378,8.01450097721872
110,4.06611680420787,6.55235580843601,7.78441595662893
115,4.00218816979762,6.38908587735751,7.43727993763295
120,3.92226033451939,6.16656318133556,6.93317668485243
125,3.82467889426104,5.86803489379265,6.24287125843414
130,3.70745451657751,5.47415492404813,5.38338596704943
135,3.5681302227367,4.96364510987719,4.44431178767866
140,3.40352138248531,4.3140289104095,3.53896971844648
145,3.20933196135216,3.50212883611968,2.68360787025703
150,2.97971836353928,2.50403917832195,1.81351504443383
155,2.70692073969726,1.29478756835271,1.0024313869818
160,2.38107050296617,-0.150480145831392,0.454184180653676
165,1.9902142279846,-1.84773833283368,0.0932703823712533
170,1.52051946900766,-3.77132547240339,-0.251481709384648
175,0.956598639656119,-5.76291950723422,-0.236554428352505
180,0.281896655234792,-7.38576862676729,0.271183266830765
185,-0.520924284939969,-8.05434280474752,0.554060340892744
190,-1.46975456736978,-7.73594908498658,0.010346309219022
195,-2.58325936518034,-6.98923301714668,-1.5428059958707
200,-3.88199462473704,-6.25703338259174,-3.58395190031911
205,-5.39093632838077,-5.70222072184945,-3.94614125757393
210,-7.14389152574855,-5.35066299267925,-2.699224759182
215,-9.18978678276046,-5.18468245160489,-2.23408102093066
220,-11.5980253567369,-5.17571422758133,-3.2848984096319
225,-14.4431344599597,-5.29239237672131,-5.97105181607147
230,-17.6497368908831,-5.50196047277622,-10.0477870018006
235,-20.2518929600878,-5.77122432982693,-11.5067039623406
240,-20.2100504365185,-6.06826688555205,-8.55993923630592
245,-18.3427658212491,-6.36430923895869,-6.18404983433544
250,-16.4962891519967,-6.63484167543044,-4.86983649752869
255,-15.1062568779415,-6.85963112502411,-4.23404816547147
260,-14.147484787315,-7.02185616450108,-3.97551072454521
265,-13.5492689978426,-7.10706209097542,-3.89220725707841
270,-13.2619435574562,-7.10273674129305,-3.86394188271754
275,-13.2606221288439,-6.99909411633288,-3.84613595424635
280,-13.5401738876507,-6.79114835784708,-3.86793423018892
285,-14.1062209989072,-6.48145688786347,-4.02819222094847
290,-14.9506514013158,-6.08233543885536,-4.48189092328807
295,-15.9725746120654,-5.61639176348071,-5.39419023658027
300,-16.7740697898035,-5.11503372145648,-6.7500184009178
305,-16.5416811933483,-4.61563024181694,-7.72419436583531
310,-14.9071759330506,-4.15850511460622,-6.83807978561213
315,-12.5681277965027,-3.78480294265192,-4.94079823032696
320,-10.2085712269725,-3.53596755947128,-3.76091886659118
325,-8.07677892231941,-3.45552467901422,-4.13163430757902
330,-6.21343694867007,-3.59402422985607,-6.87505715241079
335,-4.60073303166167,-4.01819446542128,-11.774980291181
340,-3.21036461506065,-4.82583217251845,-6.93309876505516
345,-2.01553679533917,-6.16885283425371,-2.10450678203228
350,-0.992746711683575,-8.27708140523614,0.233194266496861
355,-0.121148057213947,-11.2935785082443,1.01561107997885
360,0.618253153245038,-13.2054615921043,0.885400509724523
