"Freq [GHz]","dB(S(1,1)) []"
2,-1.1044015045929
2.1,-1.94017603899898
2.2,-4.03677464534364
2.3,-7.56676676903714
2.4,-12.4373747388071
2.5,-19.3201793169136
2.6,-34.6958467161778
2.7,-26.7744115716278
2.8,-21.080875036174
2.9,-18.6541408091445
3,-17.3998755391484
3.1,-16.7413626865476
3.2,-16.4254990206165
3.3,-16.3067225612285
3.4,-16.2838450635902
3.5,-16.2772945098984
3.6,-16.2217262574721
3.7,-16.0715063594747
3.8,-15.8358848557879
3.9,-15.6950840646967
4,-16.1215757582914
4.1,-17.00128946712
4.2,-17.2475106299789
4.3,-17.4821432285183
4.4,-18.43375507083
4.5,-19.8388368867291
4.6,-21.2564789609921
4.7,-22.4035650832933
4.8,-23.0682814559411
4.9,-23.0598570644279
5,-22.3160760350405
5.1,-21.0027315509338
5.2,-19.4105903133993
5.3,-17.7934327260742
5.4,-16.3118529142685
5.5,-15.0464473102451
5.6,-14.0216605270575
5.7,-13.2266019841504
5.8,-12.6334367584787
5.9,-12.2120519899486
6,-11.939185977231
6.1,-11.802256171306
6.2,-11.7994868757853
6.3,-11.9377842872154
6.4,-12.2290453383012
6.5,-12.685009435263
6.6,-13.3105391556357
6.7,-14.095088856921
6.8,-15.0019399357312
6.9,-15.955822776112
7,-16.8360202196689
7.1,-17.4960715235752
7.2,-17.8296832674858
7.3,-17.8446763000677
7.4,-17.6619264079676
7.5,-17.4440387742202
7.6,-17.3378523938662
7.7,-17.4625308578841
7.8,-17.9181794135498
7.9,-18.7811624642211
8,-20.0250518519283
8.1,-21.2001725923566
8.2,-21.0672468284628
8.3,-19.1505814860931
8.4,-16.6745020654776
8.5,-14.449903496417
8.6,-12.6358170223705
8.7,-11.1993214422066
8.8,-10.0798067643602
8.9,-9.22414728680087
9,-8.59124885298486
9.1,-8.15091369299071
9.2,-7.88264123052698
9.3,-7.77549241506448
9.4,-7.82908701292835
9.5,-8.05551028752258
9.6,-8.48166871885889
9.7,-9.15126093247379
9.8,-10.1252911144043
9.9,-11.4810332384505
10,-13.3133311431533
