"Freq [GHz]","dB(RealizedGainTotal) [] - Phi='0deg' Theta='90deg'"
2,0.33969778442044
2.1,0.693027358936939
2.2,1.01440516304571
2.3,1.28846631661016
2.4,1.50974597250473
2.5,1.6803064128011
2.6,1.80681481224633
2.7,1.90203392070665
2.8,1.97995490315977
2.9,2.05356406254098
3,2.13276135742458
3.1,2.22332335898325
3.2,2.32702312319421
3.3,2.44252181158746
3.4,2.56659854177451
3.5,2.69533477015106
3.6,2.82502011713777
3.7,2.9527090036978
3.8,3.07649677436549
3.9,3.19586660972514
4,3.30843777102538
4.1,3.41281255038597
4.2,3.51750173442519
4.3,3.61838077770417
4.4,3.7168371188333
4.5,3.81381778614312
4.6,3.91000487277968
4.7,4.0058142901187
4.8,4.10140444119822
4.9,4.19671478629728
5,4.29153428575412
5.1,4.38559163729586
5.2,4.47865571637044
5.3,4.57063195053832
5.4,4.66163770309165
5.5,4.75204244803185
5.6,4.84246277364532
5.7,4.93371077724268
5.8,5.02670073802437
5.9,5.12232834629698
6,5.22133878320223
6.1,5.32420268888385
6.2,5.43101585599871
6.3,5.54143668294675
6.4,5.65467159543372
6.5,5.76951551538031
6.6,5.88445030754034
6.7,5.99779712405842
6.8,6.1079023975715
6.9,6.21331330559229
7,6.31286623473249
7.1,6.40559238400807
7.2,6.49040130198429
7.3,6.56570380993281
7.4,6.6294298813311
7.5,6.67987784599959
7.6,6.717109607662
7.7,6.74378607079226
7.8,6.76466505725385
7.9,6.78518461160601
8,6.80510953831521
8.1,6.84261621509129
8.2,6.88415479926403
8.3,6.93427259884013
8.4,6.99083580972221
8.5,7.05028668831301
8.6,7.10805905234582
8.7,7.1591607498489
8.8,7.19890419911934
8.9,7.22370138220424
9,7.23177994949535
9.1,7.22365366803739
9.2,7.20221726036569
9.3,7.17242788566774
9.4,7.14064025862901
9.5,7.11373064228182
9.6,7.09815850283328
9.7,7.09907361545906
9.8,7.11952311417724
9.9,7.15977362073225
10,7.21676205709534
