"Freq [GHz]","dB(RealizedGainTotal) [] - Phi='0deg' Theta='90.0000000000002deg'"
2,-1.14317717679992
2.1,-0.539332327845224
2.2,0.114400876065137
2.3,0.818084963977909
2.4,1.55896450751106
2.5,2.30945648865926
2.6,3.03738744240841
2.7,3.70262480167623
2.8,4.22350667848841
2.9,4.4625183041816
3,4.3572121365202
3.1,4.08898689526112
3.2,3.93958785033449
3.3,4.0630671343399
3.4,4.26311978208785
3.5,3.88659005132653
3.6,3.31192172188688
3.7,2.91291698538962
3.8,2.79706115065926
3.9,3.07442394735413
4,3.37492892959613
4.1,3.85054687563495
4.2,4.11970136352562
4.3,3.93305719361633
4.4,4.14261357659404
4.5,4.63740729582999
4.6,4.98572313571524
4.7,4.76687220597926
4.8,4.56504353155435
4.9,5.35037497359307
5,5.78594061832806
5.1,5.79505003786431
5.2,5.64378584114686
5.3,5.38704833771031
5.4,5.72987155342884
5.5,6.29159287651835
5.6,6.38384830607729
5.7,6.32370172309117
5.8,6.15140547042839
5.9,5.91090061534473
6,6.54036471047544
6.1,6.93995783551185
6.2,6.96905225453357
6.3,6.86585708294118
6.4,6.61130586883408
6.5,6.90838629286595
6.6,7.53665960626153
6.7,7.69741481826808
6.8,7.70430448699926
6.9,7.64466922479893
7,7.52061702135627
7.1,7.57608072797404
7.2,8.0046714579259
7.3,8.02821987899525
7.4,7.9379439830671
7.5,7.77110568545576
7.6,7.57065432303501
7.7,8.2809714185187
7.8,8.56549175411173
7.9,8.52116349430215
8,8.44518515761968
8.1,8.39653777212115
8.2,8.32466412180146
8.3,8.23857773037818
8.4,8.13436076604701
8.5,8.00667174338226
8.6,7.83882947628546
8.7,7.62529675090328
8.8,7.46631292728368
8.9,7.36432166149963
9,7.27889924170293
9.1,7.21158803347558
9.2,7.17046059454568
9.3,7.16137409228242
9.4,7.18746541880323
9.5,7.24945983692527
9.6,7.34599719802775
9.7,7.47391840128476
9.8,7.62835538073604
9.9,7.80209238255904
10,7.98298184914205
