"Freq [GHz]","im(Z(1,1)) []","re(Z(1,1)) []"
2,19.4899211128482,17.1177203737346
2.1,25.6838039163622,21.6567922774403
2.2,31.3065705489514,28.443599313557
2.3,34.9889176914174,37.8909867642805
2.4,34.5598394578947,49.2416935615207
2.5,28.4953523495966,59.4409326129423
2.6,18.6364791979827,64.5060033636824
2.7,9.55643737882722,63.6059674648107
2.8,4.1804085286865,59.5013778907956
2.9,2.44679564527298,55.1416748656946
3,3.08147644690965,52.0241586397749
3.1,4.8732695992336,50.5884709250997
3.2,6.92325090511523,50.8220401508512
3.3,8.53491201465016,52.5326466483681
3.4,9.10516031179983,55.3768759023542
3.5,8.13288918227898,58.783281100515
3.6,5.37984924788306,61.90813245699
3.7,1.10953189952407,63.7839295741334
3.8,-3.83871938251502,63.7101545953829
3.9,-8.35695598019277,61.6307261419029
4,-11.5860874666643,58.1277866930531
4.1,-13.2101022405747,54.0428364725575
4.2,-13.3764581754513,50.0931862960225
4.3,-12.4532273792316,46.7189656761798
4.4,-10.8386497038637,44.1145156721
4.5,-8.87697606261633,42.3160126162469
4.6,-6.84432632931304,41.2720291794279
4.7,-4.96082438846074,40.880288268833
4.8,-3.40221759056284,40.9978818775324
4.9,-2.29782496591068,41.4384534632494
5,-1.7107599320232,41.9721953402005
5.1,-1.60703827899128,42.3454703762925
5.2,-1.83407151737015,42.3298973870504
5.3,-2.13586780502469,41.789755533278
5.4,-2.21566233638459,40.7322918818653
5.5,-1.8205126342229,39.3060157618902
5.6,-0.80173098988821,37.7470069095377
5.7,0.8752080555813,36.3093462532447
5.8,3.16016291749832,35.2175172360238
5.9,5.95799748256734,34.6537230232369
6,9.15602716193497,34.7714522344967
6.1,12.6303897906801,35.7210143741446
6.2,16.2292060268758,37.6762056600468
6.3,19.7287470108471,40.8531134476331
6.4,22.7535098862682,45.504200445059
6.5,24.653348890665,51.8446266558705
6.6,24.3744631550361,59.8192454807471
6.7,20.5214268470086,68.6044740584036
6.8,12.0755789027726,76.0249516967453
6.9,-0.058635577488311,78.9181849563101
7,-12.3703446805946,75.4375538604853
7.1,-21.0548398770417,67.0375979646441
7.2,-24.8061491534031,57.0103741731875
7.3,-24.5989677406462,47.8457645978841
7.4,-21.9884777252564,40.5125734118874
7.5,-18.1662477585991,35.0509815027211
7.6,-13.8381456573521,31.1767935278262
7.7,-9.37217587880974,28.5758302480451
7.8,-4.94801993752375,26.9994712481347
7.9,-0.655872894524164,26.2782960455378
8,3.44390048528378,26.3092279502256
8.1,7.2832381321733,27.0341334370251
8.2,10.7616282640247,28.4114006905633
8.3,13.7349712709811,30.3766925307
8.4,16.0299214298922,32.7932090492454
8.5,17.5008157642124,35.4090542733773
8.6,18.1279081915688,37.8642700281543
8.7,18.1042917988896,39.7877586451131
8.8,17.8235937072059,40.9550006433299
8.9,17.7440983256757,41.3940201449948
9,18.2253658475875,41.3579313615826
9.1,19.4496428327126,41.2100186127167
9.2,21.4388257485632,41.3245338440426
9.3,24.1019050580997,42.0519172181171
9.4,27.2535033702302,43.7303154980193
9.5,30.5785782005018,46.6979310983238
9.6,33.5483660731571,51.2498342157219
9.7,35.3419471793764,57.4718517028771
9.8,34.929025738006,64.9279154718259
9.9,31.5263512754941,72.399822267367
10,25.3141466087344,78.1710578057351
