"Freq [GHz]","dB(S(a1,b5)) []","dB(S(a2,b5)) []","dB(S(a3,b5)) []","dB(S(a4,b5)) []","dB(S(a5,b5)) []","dB(S(a6,b5)) []","dB(S(a7,b5)) []","dB(S(a8,b5)) []"
9,-16.2033909857422,-6.5642889943582,-6.71484755136017,-6.3556783240872,-9.25974359098037,-15.2304175101447,-18.6491031123999,-8.66269324708826
9.1,-8.30579430651323,-5.8820753515999,-13.2992946936318,-4.20407688122699,-25.4832340699202,-11.9374600789156,-6.12819169001886,-17.3362509750514
9.2,-11.2130840495862,-16.5150512092507,-12.0385231595056,-12.0635419574323,-9.81014660484194,-10.7676031009696,-8.38151831326463,-12.0502943700269
9.3,-12.7303765742522,-14.1867081159878,-10.1264867820763,-13.0480974814626,-9.54828090056064,-11.7379544899797,-10.3614944239954,-10.7339268952698
9.4,-12.2646978228963,-13.4370975402637,-9.6674035849619,-12.7255995206259,-9.47228545316165,-12.2779584571825,-10.7906358038872,-10.7576652046572
9.5,-10.9735590502539,-13.8078050883152,-9.28310443997406,-12.6305122144612,-9.70129237811448,-12.75449595345,-10.14955397228,-11.0954933570643
9.6,-9.9170287226397,-14.316902280058,-9.100536133423,-12.5855540149729,-10.1640303415898,-13.0783854654836,-9.35617638421362,-12.0235872045572
9.7,-8.93102407986467,-13.6949271488646,-10.4087396219731,-11.6819913878947,-12.4978256681874,-9.74339479973783,-9.57154279567313,-15.9241781870336
9.8,-11.1665350505794,-11.2908235172394,-10.9795185212511,-11.0648972604905,-10.5234100815197,-11.4768752602702,-11.4081358388125,-11.8299772831485
9.9,-14.6964436377155,-10.371435513507,-11.4540772310856,-10.1270147418087,-13.2817029323131,-9.78237664370682,-11.3078610652825,-12.5939471315295
10,-10.646838101909,-12.519412842502,-10.3213435672076,-11.3172336826547,-10.088893982853,-12.2099084833324,-9.69061541115788,-12.326003165061
10.1,-12.3598089495751,-10.0696270499013,-11.1660030833951,-10.7128170747446,-11.2775580904311,-10.9596433286942,-11.2037855862247,-11.0756565798107
10.2,-11.4393012916952,-10.4300793635369,-10.6433131706357,-11.38928818619,-10.4199780728832,-11.3342250081679,-11.0179135531599,-11.2535009954585
10.3,-12.306784516475,-10.6834537346482,-10.3215224979664,-11.8198167417295,-11.1189896949963,-10.2774755476843,-11.1166639736852,-11.0716748461441
10.4,-13.3350591243654,-8.24503957870876,-12.5278460983621,-12.0937348584291,-10.6763744663613,-9.83538599653707,-13.8271461993921,-8.6419654286579
10.5,-5.81981618733171,-4.51260173480294,-21.1088039699071,-11.9916385821328,-8.27672247674433,-7.12028003859074,-26.2094381525365,-3.37527840587372
10.6,8.88181040452054,2.14382102184422,9.53185379484059,-8.96262950101512,-0.373044123940284,-6.66546954641313,-4.54998834927022,6.85335586765988
10.7,-7.21149445375322,-11.6669889403961,-5.68230991440465,-7.53691433643315,-16.208801549141,-7.14157373127844,-9.99082423405867,-18.423532396367
10.8,-9.79191798190306,-10.3297093515274,-8.6340029526289,-7.59184843285139,-16.0610948498861,-7.82493899392401,-11.3323444120692,-18.5388258659625
10.9,-9.84663718161721,-10.0350237523748,-9.8836151238952,-7.5882531137963,-16.1343510754022,-8.1414096293371,-11.6587742294898,-16.0616929612569
11,-9.428493295901,-9.84641625771069,-10.5523954927605,-7.64630943864525,-16.0281992132903,-8.42487902260349,-11.2757300764096,-14.3413356268455
