"Freq [GHz]","im(S(1,1)) []","re(S(1,1)) []","im(S(2,1)) []","re(S(2,1)) []"
3,-0.24509882937937,0.866849240389557,-0.367850856289858,-0.12550126735435
3.1,-0.298983720505515,0.804972120196111,-0.414983669020548,-0.188187337192705
3.2,-0.353933327082169,0.697808652595776,-0.463478788524054,-0.29607957075684
3.3,-0.373787440013792,0.512685675280007,-0.477146701646151,-0.481860218584994
3.4,-0.245697671417758,0.255927270787054,-0.343112830852034,-0.739212977769808
3.5,0.112396991333333,0.14438378637551,0.0207073546012477,-0.851294185862385
3.6,0.404879024831998,0.337765385924203,0.318717559794329,-0.658399437930177
3.7,0.469482214559398,0.575092634559613,0.388670819165281,-0.421513130139378
3.8,0.436010355647423,0.728860829876551,0.360388458999848,-0.268144252523743
3.9,0.384529520490575,0.818434868134434,0.31395260320501,-0.178931621394583
4,0.336969902992177,0.871967099609254,0.271308219565702,-0.125726100373864
4.1,0.296998961666454,0.905662659750588,0.236136436981557,-0.0923253340516981
4.2,0.263960696089247,0.927984258798826,0.207793974928383,-0.0702690128969268
4.3,0.236495439826759,0.943443551398728,0.184933071943772,-0.0550475491020899
4.4,0.213373794152976,0.954558737346164,0.166335540437782,-0.0441445135929752
4.5,0.193630242690049,0.962804929567027,0.151046490556836,-0.0360862992663207
4.6,0.176534502625831,0.969085618567862,0.13834578100628,-0.0299706821478796
4.7,0.161537427049197,0.973976492537485,0.127694013342843,-0.0252230220261347
4.8,0.148223528660198,0.977857282111053,0.118685141746507,-0.0214644341203831
4.9,0.136274990843437,0.980986143023492,0.111010565851135,-0.0184374189871477
5,0.12544559304823,0.983543276167488,0.104433135057447,-0.0159622514592113
5.1,0.115542045383374,0.985657412934518,0.0987685606516857,-0.0139105009386169
5.2,0.10641060615771,0.987422404635943,0.0938721108556455,-0.0121884443434266
5.3,0.0979274129195707,0.988907906243933,0.0896290207792025,-0.0107263814639547
5.4,0.0899914223678872,0.990166429851337,0.08594751413184,-0.00947157722000291
5.5,0.082519193596795,0.991238105997283,0.0827536727589404,-0.00838349245034919
5.6,0.0754409849508482,0.992153962122403,0.0799876260528509,-0.00743049362085024
5.7,0.0686977960006209,0.992938220123865,0.0776006937610535,-0.00658753898252318
5.8,0.062239096035327,0.993609931587875,0.0755532259149906,-0.00583452192439804
5.9,0.0560210555962913,0.994184157102049,0.0738129591425815,-0.00515506421971246
6,0.0500051492563716,0.994672825850655,0.0723537608404787,-0.00453562178556566
6.1,0.0441570336524502,0.995085366811468,0.0711546691692378,-0.00396481010490768
6.2,0.038445629734893,0.995429173571044,0.0701991626725074,-0.00343288530140284
6.3,0.0328423556569511,0.995709945237174,0.0694746119172686,-0.00293133579288662
6.4,0.0273204689175056,0.995931932592581,0.0689718792118675,-0.00245255198522693
6.5,0.0218544847742524,0.996098109270547,0.0686850427769071,-0.00198954976356525
6.6,0.0164196435364294,0.996210280900725,0.0686112298372722,-0.0015357289265045
6.7,0.0109914027472275,0.996269139903572,0.0687505498034474,-0.00108465100746846
6.8,0.0055449318366088,0.996274269211835,0.0691061246586523,-0.000629822607642633
6.9,5.45867178160922E-005,0.996224094118573,0.0696842194213894,-0.000164470649640787
7,-0.00550666001979636,0.996115777191327,0.0704944816467197,0.000318705133835237
7.1,-0.0111678614343626,0.995945046207199,0.0715503059540153,0.000827819828217918
7.2,-0.0169608453618459,0.995705938668194,0.0728693482502483,0.00137215311495059
7.3,-0.0229211140162487,0.995390437684904,0.074474225627401,0.00196259072375865
7.4,-0.0290889515266551,0.994987961413546,0.0763934532241846,0.00261219872467872
7.5,-0.0355108170268011,0.994484649497676,0.0786626906718976,0.0033369898287503
7.6,-0.0422411303647457,0.993862361354468,0.0813264011262536,0.00415696891957518
7.7,-0.0493446008530015,0.993097256379367,0.0844400699761692,0.00509758937393878
7.8,-0.0568993139405046,0.992157754435439,0.0880731953672771,0.00619182310326938
7.9,-0.0650008876563527,0.991001557313453,0.0923133601144371,0.00748316466669952
8,-0.0737681583053266,0.989571213667556,0.0972718425829033,0.00903008778141245
8.1,-0.0833510821395848,0.987787366684211,0.103091451664295,0.010912815639232
8.2,-0.0939418922832466,0.98553821064441,0.109957623769925,0.0132438794046967
8.3,-0.105791097495868,0.982662549544803,0.118114367271294,0.0161850721587067
8.4,-0.119230745824618,0.97892167675542,0.127887476442826,0.0199755796559149
8.5,-0.134708584646773,0.973950944527527,0.139718645546147,0.0249804193646295
8.6,-0.152838194913379,0.967172778209395,0.154215560113556,0.0317774331745042
8.7,-0.174470604247674,0.957632818267882,0.172223469418373,0.0413211509170566
8.8,-0.200786081112603,0.94367432070533,0.194916941733886,0.0552683944322503
8.9,-0.23336306502623,0.922252807883517,0.223868756696824,0.0766636307644184
9,-0.273979924802825,0.887412782041944,0.260851625605712,0.11146226354391
9.1,-0.322963221796431,0.826824586626186,0.306186412989319,0.171993780545719
9.2,-0.370548510862707,0.714979711263219,0.350102876652637,0.283766465887316
9.3,-0.360554724606031,0.514692335774005,0.336413913513532,0.483965851386007
9.4,-0.139809873511751,0.292888150447102,0.111941070438849,0.705665578125207
9.5,0.212302826506201,0.358782011906105,-0.243938479850389,0.639649324349687
9.6,0.336502657458632,0.59869260690415,-0.371949495593469,0.399597950667268
9.7,0.313265673192843,0.762481331641019,-0.352574985373345,0.235649890572994
9.8,0.262961100943341,0.851083295913161,-0.306191600533583,0.146869033959534
9.9,0.217054775925521,0.900061898398065,-0.264272752315445,0.0976907167473247
10,0.179623082112939,0.92896717664677,-0.23090277722444,0.0685634960910881
10.1,0.149448429377095,0.947135131068969,-0.204872542381103,0.0501497900370176
10.2,0.124794096296037,0.959169997099151,-0.184454376798109,0.0378435644867643
10.3,0.104249206649847,0.967485540096202,-0.168247134604101,0.029229000684344
10.4,0.0867765269999939,0.973426217145091,-0.155224088187163,0.0229592943379625
10.5,0.0716274439827432,0.977782159932695,-0.144648013995594,0.0182416289550128
10.6,0.0582582597781909,0.981039571345646,-0.135987612501554,0.0145867284339797
10.7,0.0462681240234756,0.983509510829645,-0.128855583834116,0.0116800117161168
10.8,0.0353560654154591,0.985397601324636,-0.122965826135903,0.00931181426051819
10.9,0.0252916814266235,0.98684350040114,-0.118104319656437,0.00733783077652647
11,0.0158950518936815,0.987944149199427,-0.114109267919854,0.0056557619328248
11.1,0.00702279682078409,0.988767941853784,-0.110857423132725,0.00419101769768067
11.2,-0.00144176364202386,0.989363616224628,-0.108254562195306,0.00288767052724045
11.3,-0.00959568755773189,0.989765967348134,-0.106228783220622,0.00170254931655697
11.4,-0.0175216124338612,0.989999585038442,-0.104725751030404,0.000601262715331896
11.5,-0.0252916705572318,0.990081322379475,-0.103705316742639,-0.000444567970830811
11.6,-0.0329705208668276,0.990021920196091,-0.103139129701234,-0.00145930861213711
11.7,-0.0406177778439315,0.989827046507006,-0.103008987622317,-0.00246482679967647
11.8,-0.0482900390945158,0.989497908102756,-0.103305757082258,-0.00348170920118074
11.9,-0.0560426629252191,0.989031525666335,-0.104028756686595,-0.00453031528280512
12,-0.0639314162132792,0.988420718148457,-0.105185539343352,-0.00563177110401236
12.1,-0.0720140957948562,0.987653806512268,-0.106792044640061,-0.00680899404965896
12.2,-0.0803522203752579,0.986714014605932,-0.108873122086408,-0.00808784007601981
12.3,-0.0890128931935608,0.985578510044041,-0.111463454585136,-0.00949847889218169
12.4,-0.0980709482271072,0.984216984451619,-0.114608942140357,-0.0110771318181979
12.5,-0.107611515564482,0.982589612227619,-0.118368641695677,-0.0128683575152495
12.6,-0.117733176664077,0.980644138121684,-0.122817403572301,-0.0149281528677632
12.7,-0.1285519303024,0.978311707047647,-0.128049402029442,-0.0173282683857647
12.8,-0.140206257993403,0.975500832087289,-0.134182830596116,-0.0201623515448528
12.9,-0.152863664476852,0.972088541905084,-0.141366123468802,-0.0235548837318396
13,-0.166729167585933,0.967907155652008,-0.149786165836727,-0.027674467776853
